sexo,gear,area,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
machos ,arrastre ,norte,0,0,957.373025,6157.411587,8691.128758,11896.21441,6354.783114,24248.19607,47656.28137,66260.28551,93678.11017,94611.3203,67962.79126,52684.41008,41859.34397,43213.96711,31766.30994,17098.87025,7253.014144,2181.977517,1938.921225,627.8799666,670.0711381,220.9887224
hembras ,arrastre ,norte,0,0,507.3150773,4902.085443,8846.626222,11375.73537,15322.56322,28558.88878,30219.66793,42605.25533,73071.66364,84789.29027,62774.9176,66831.30199,88967.35418,94153.18843,99772.4247,94931.0979,50315.83818,25509.24062,15870.61281,9401.062155,9126.437692,5871.985278
machos ,arrastre ,sur,0,0,276.9437877,1661.663113,0,281.438842,131.8836416,985.5480597,3465.165653,6265.949729,6962.610346,7218.842877,3385.039391,3150.56679,2081.282118,921.6113789,567.8593098,374.4908539,114.4837109,785.0548707,0,0,0,0
hembras ,arrastre ,sur,459.9712328,689.9568492,3449.784246,459.9712328,0,0,314.6483317,1294.613335,4680.722543,8228.97852,15956.0061,17351.71124,11884.83123,9996.072056,11136.3652,8901.436055,6754.52223,3637.110994,1948.824741,1497.513884,310.5090222,201.6745276,114.2909399,41.16327753
total,arrastre ,ambas,459.9712328,689.9568492,5191.416136,13181.13138,17537.75498,23553.38863,22123.87831,55087.24625,86021.83749,123360.4691,189668.3902,203971.1647,146007.5795,132662.3509,144044.3455,147190.203,138861.1162,116041.57,59632.16077,29973.78689,18120.04306,10230.61665,9910.79977,6134.137278
machos,palangre,norte,0,0,0,0,0,23.28577046,59.62203136,208.014954,332.8625198,619.7103074,934.0580871,1099.334752,749.12994,538.9111925,373.1504625,329.899234,160.0691032,50.32022245,27.697604,0,8.057841655,2.33242981,6.122628252,0
hembras,palangre ,norte,0,0,0,0,0,96.86614632,105.7507896,248.5793274,161.0632777,322.1202846,1066.289072,1645.106479,1505.154746,1796.633235,2471.448091,2414.480854,1940.915104,1397.219513,609.6330792,212.3066475,141.1336416,46.04891804,106.9067849,18.98625292
machos,palangre,sur,0,0,0,0,0,0,12.60539146,127.5211955,1021.578272,3848.88509,5057.209021,6318.815509,2194.769966,2540.984498,1611.292934,1358.069765,761.9966152,214.5832472,49.04165728,183.5005517,0,0,0,0
hembras ,palangre,sur,0,0,43.20302682,0,0,0,0,126.244881,768.3493072,3972.837144,10785.7163,15585.10765,15663.51938,17572.29443,24682.94962,22631.08995,16815.54389,9905.601548,5291.01756,3858.156202,1066.308327,698.2563102,300.434315,155.3873141
total,palangre,ambas,0,0,43.20302682,0,0,120.1519168,177.9782124,710.3603579,2283.853377,8763.552826,17843.27248,24648.36439,20112.57403,22448.82335,29138.84111,26733.5398,19678.52471,11567.72453,5977.389901,4253.963402,1215.49981,746.6376581,413.4637281,174.373567
machos,artesanal,norte,0,1045.858296,613.9622955,2347.438843,11233.85408,37479.08562,82810.55899,81440.9911,116249.4261,144511.6808,148580.2776,173253.8539,176329.8804,88312.54142,49846.75655,18533.10336,20217.17887,12349.95507,1956.421662,1195.980127,0,0,0,0
hembras,artesanal,norte,512.110977,288.6106418,934.5617517,4078.666441,21007.26509,46488.11402,57963.9902,94438.13838,94232.93952,93624.91319,128979.1485,155634.2883,55299.44844,49988.3405,51188.94647,30118.79388,33649.1268,17483.44153,10000.51342,10556.86311,588.3703611,110.0933121,0,0
machos,artesanal,sur,0,15.41606539,9.049660803,34.60136406,165.5876656,552.4910986,1220.871132,1202.114696,1716.48487,2139.532809,2211.858329,2600.349007,2688.079463,1393.539339,835.9449664,317.078914,392.5569481,297.9429439,52.20779231,66.98795812,9.942204795,1.217808025,5.216564586,0.963560118
hembras ,artesanal,sur,13.54066119,7.631189447,24.71090609,107.8447518,555.4561757,1229.199631,1533.333001,2498.682671,2493.767716,2480.683008,3427.843116,4150.169412,1497.68782,1378.957653,1433.56135,845.4111587,1052.12564,562.6233033,367.6168931,529.339708,62.27519947,24.80230554,23.53404775,49.87417845
total,artesanal,ambas,525.6516382,1357.516193,1582.284614,6568.551399,32962.16301,85748.89037,143528.7533,179579.9268,214692.6182,242756.8098,283199.1275,335638.6606,235815.0961,141073.3789,103305.2093,49814.38731,55310.98826,30693.96285,12376.75976,12349.1709,660.5877654,136.1134257,28.75061233,50.83773857
machos,survey,pda,0,0,4338.134081,16458.05834,28647.21461,61826.88121,51764.1195,138013.8784,243716.4487,355767.492,1190474.902,1085365.206,614136.7062,494670.75,338516.066,201272.0928,60250.55211,0,13797.2941,0,0,0,0,0
hembras ,survey,pda,0,5769.015055,12929.83891,13313.73644,27721.13473,38753.20841,66312.20222,164489.0538,191832.4227,347603.7739,512481.7294,554865.5939,511034.3434,812054.0045,960355.5568,1285181.507,824775.1342,735994.5948,452321.8963,157253.7678,128733.2954,45908.32892,56633.18074,14552.36121
total,survey,ambas,0,5769.015055,17267.97299,29771.79478,56368.34934,100580.0896,118076.3217,302502.9321,435548.8714,703371.2659,1702956.632,1640230.8,1125171.05,1306724.754,1298871.623,1486453.6,885025.6863,735994.5948,466119.1904,157253.7678,128733.2954,45908.32892,56633.18074,14552.36121
